stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,piloting,Instruction.started,ins.started,ins_res.started,Instruction.stopped,ins_res.keys,ins_res.rt,ins_res.duration,trial.started,Fixation.started,grating.started,key_resp.started,Fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,Thanks.started,text.started,text.stopped,Thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
12,1,1,26.04668129199854,,,,,,,,,,26.036327249996248,26.04668129199854,26.547745916999702,26.547745916999702,26.547745916999702,26.847872624995944,27.099490332999267,left,-1,1,1,0.5499832080022315,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
13,1,1,27.11751241699676,,,,,,,,,,27.099804666999262,27.11751241699676,27.614300791996357,27.614300791996357,27.631114208001236,27.91437975000008,27.985829707999073,right,1,1,1,0.3564864159998251,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
14,1,1,27.99694695800281,,,,,,,,,,27.98612512499676,27.99694695800281,28.497685292000824,28.497685292000824,28.497685292000824,28.79779970800155,29.034806457995728,left,-1,1,1,0.5209664990034071,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
15,1,1,29.047897832999297,,,,,,,,,,29.035103499998513,29.047897832999297,29.54782337499637,29.54782337499637,29.54782337499637,29.847741874997155,30.099226917001943,right,1,1,1,0.5440137500045239,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
16,0.5,1,30.11447537499771,,,,,,,,,,30.099526250000054,30.11447537499771,30.614369167000405,30.614369167000405,30.614369167000405,30.914311166998232,31.119328667002264,left,-1,0,0,0.49129141599405557,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
17,0.5,1.5,31.130282666999847,,,,,,,,,,31.119679082999937,31.130282666999847,31.63085333300114,31.63085333300114,31.63085333300114,31.93103512500238,32.199486625002464,left,-1.5,1,1,0.5637376239974401,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
18,0.5,1.5,32.213626249998924,,,,,,,,,,32.19987625000067,32.213626249998924,32.714301041996805,32.714301041996805,32.714301041996805,33.01418854200165,33.31588141700195,left,-1.5,1,1,0.593383207997249,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
19,0.5,1.5,33.330061874999956,,,,,,,,,,33.31623212499835,33.330061874999956,33.83075029199972,33.83075029199972,33.83075029199972,34.13100954199763,34.31836420799664,left,-1.5,1,1,0.46967662499810103,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
20,0.5,1.0,34.329819582999335,,,,,,,,,,34.31865787500283,34.329819582999335,34.83096937499795,34.83096937499795,34.83096937499795,35.13095337500272,35.2828785419988,left,-1.0,1,1,0.44652449999557575,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
21,0.5,1.0,35.29660049999802,,,,,,,,,,35.28327691699815,35.29660049999802,35.797646833001636,35.797646833001636,35.797646833001636,36.097595499995805,36.28448337499867,left,-1.0,1,1,0.47373366599640576,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
